zip	type	primary_city	state	latitude	longitude
00824	PO BOX	Christiansted	VI	17.74	-64.7
00830	STANDARD	St John	VI	18.33	-64.79
00831	PO BOX	St John	VI	18.33	-64.79
00840	STANDARD	Frederiksted	VI	17.71	-64.88
00841	PO BOX	Frederiksted	VI	17.71	-64.88
00850	STANDARD	Kingshill	VI	17.76	-64.82
00851	PO BOX	Kingshill	VI	17.73	-64.8
00901	STANDARD	San Juan	PR	18.47	-66.1
00902	PO BOX	San Juan	PR	18.4	-66.06
00906	PO BOX	San Juan	PR	18.46	-66.09
00907	STANDARD	San Juan	PR	18.45	-66.08
00908	PO BOX	San Juan	PR	18.4	-66.06
00909	STANDARD	San Juan	PR	18.44	-66.07
00910	PO BOX	San Juan	PR	18.4	-66.06
00911	STANDARD	San Juan	PR	18.45	-66.06
00912	STANDARD	San Juan	PR	18.45	-66.06
00913	STANDARD	San Juan	PR	18.45	-66.04
00914	PO BOX	San Juan	PR	18.4	-66.06
00915	STANDARD	San Juan	PR	18.44	-66.05
00916	PO BOX	San Juan	PR	18.4	-66.06
00917	STANDARD	San Juan	PR	18.42	-66.05
00918	STANDARD	San Juan	PR	18.42	-66.07
00919	PO BOX	San Juan	PR	18.4	-66.06
00920	STANDARD	San Juan	PR	18.41	-66.09
00921	STANDARD	San Juan	PR	18.39	-66.09
00922	PO BOX	San Juan	PR	18.4	-66.06
00923	STANDARD	San Juan	PR	18.41	-66.04
00924	STANDARD	San Juan	PR	18.4	-66.01
00925	STANDARD	San Juan	PR	18.4	-66.05
00926	STANDARD	San Juan	PR	18.35	-66.05
00927	STANDARD	San Juan	PR	18.4	-66.06
00928	PO BOX	San Juan	PR	18.4	-66.06
00929	PO BOX	San Juan	PR	18.4	-66.06
00930	PO BOX	San Juan	PR	18.4	-66.06
00931	PO BOX	San Juan	PR	18.4	-66.06
00933	PO BOX	San Juan	PR	18.4	-66.06
00934	STANDARD	Fort Buchanan	PR	18.41	-66.12
00935	UNIQUE	San Juan	PR	18.4	-66.06
00936	PO BOX	San Juan	PR	18.4	-66.07
00937	PO BOX	San Juan	PR	18.4	-66.06
00939	UNIQUE	San Juan	PR	18.4	-66.06
00940	PO BOX	San Juan	PR	18.4	-66.06
00949	STANDARD	Toa Baja	PR	18.44	-66.25
00950	PO BOX	Toa Baja	PR	18.46	-66.23
00951	PO BOX	Toa Baja	PR	18.43	-66.25
00952	STANDARD	Sabana Seca	PR	18.42	-66.19
00953	STANDARD	Toa Alta	PR	18.39	-66.25
00954	PO BOX	Toa Alta	PR	18.39	-66.25
00955	PO BOX	San Juan	PR	18.4	-66.06
00956	STANDARD	Bayamon	PR	18.32	-66.17
00957	STANDARD	Bayamon	PR	18.37	-66.19
00958	PO BOX	Bayamon	PR	18.28	-66.13
00959	STANDARD	Bayamon	PR	18.39	-66.15
00960	PO BOX	Bayamon	PR	18.42	-66.15
00961	STANDARD	Bayamon	PR	18.41	-66.17
00962	STANDARD	Catano	PR	18.44	-66.15
00963	PO BOX	Catano	PR	18.43	-66.11
00965	STANDARD	Guaynabo	PR	18.43	-66.11
00966	STANDARD	Guaynabo	PR	18.4	-66.12
00968	STANDARD	Guaynabo	PR	18.41	-66.1
00969	STANDARD	Guaynabo	PR	18.38	-66.11
00970	PO BOX	Guaynabo	PR	18.38	-66.11
00971	STANDARD	Guaynabo	PR	18.32	-66.12
00975	UNIQUE	San Juan	PR	18.4	-66.06
00976	STANDARD	Trujillo Alto	PR	18.36	-66.01
00977	PO BOX	Trujillo Alto	PR	18.36	-66.01
00978	PO BOX	Saint Just	PR	18.37	-66.01
00979	STANDARD	Carolina	PR	18.44	-66.03
00981	PO BOX	Carolina	PR	18.4	-65.98
00982	STANDARD	Carolina	PR	18.41	-65.99
00983	STANDARD	Carolina	PR	18.4	-65.98
00984	PO BOX	Carolina	PR	18.4	-65.98
00985	STANDARD	Carolina	PR	18.41	-65.95
00986	PO BOX	Carolina	PR	18.4	-65.98
00987	STANDARD	Carolina	PR	18.34	-65.94
00988	PO BOX	Carolina	PR	18.4	-65.98
01001	STANDARD	Agawam	MA	42.06	-72.61
01002	STANDARD	Amherst	MA	42.37	-72.52
01003	PO BOX	Amherst	MA	42.39	-72.52
01004	PO BOX	Amherst	MA	42.37	-72.52
01005	STANDARD	Barre	MA	42.42	-72.1
01007	STANDARD	Belchertown	MA	42.27	-72.4
01008	STANDARD	Blandford	MA	42.18	-72.93
01009	PO BOX	Bondsville	MA	42.2	-72.34
01010	STANDARD	Brimfield	MA	42.11	-72.2
01011	STANDARD	Chester	MA	42.28	-72.98
01012	STANDARD	Chesterfield	MA	42.4	-72.85
01013	STANDARD	Chicopee	MA	42.15	-72.6
01014	PO BOX	Chicopee	MA	42.17	-72.57
01020	STANDARD	Chicopee	MA	42.17	-72.57
01021	PO BOX	Chicopee	MA	42.17	-72.57
01022	STANDARD	Chicopee	MA	42.2	-72.54
01026	STANDARD	Cummington	MA	42.46	-72.9
01027	STANDARD	Easthampton	MA	42.26	-72.68
01028	STANDARD	East Longmeadow	MA	42.06	-72.51
01029	PO BOX	East Otis	MA	42.17	-73.03
01030	STANDARD	Feeding Hills	MA	42.06	-72.67
01031	STANDARD	Gilbertville	MA	42.33	-72.2
01032	STANDARD	Goshen	MA	42.46	-72.81
01033	STANDARD	Granby	MA	42.26	-72.52
01034	STANDARD	Granville	MA	42.06	-72.86
01035	STANDARD	Hadley	MA	42.35	-72.58
01036	STANDARD	Hampden	MA	42.06	-72.41
01037	PO BOX	Hardwick	MA	42.35	-72.2
01038	STANDARD	Hatfield	MA	42.37	-72.6
01039	STANDARD	Haydenville	MA	42.39	-72.7
01040	STANDARD	Holyoke	MA	42.21	-72.64
01041	PO BOX	Holyoke	MA	42.21	-72.64
01050	STANDARD	Huntington	MA	42.23	-72.88
01053	STANDARD	Leeds	MA	42.35	-72.71
01054	STANDARD	Leverett	MA	42.45	-72.5
01056	STANDARD	Ludlow	MA	42.16	-72.48
01057	STANDARD	Monson	MA	42.09	-72.31
01059	PO BOX	North Amherst	MA	42.4	-72.52
01060	STANDARD	Northampton	MA	42.32	-72.63
01061	PO BOX	Northampton	MA	42.32	-72.67
01062	STANDARD	Florence	MA	42.32	-72.67
01063	UNIQUE	Northampton	MA	42.32	-72.64
01066	PO BOX	North Hatfield	MA	42.41	-72.66
01068	STANDARD	Oakham	MA	42.35	-72.05
01069	STANDARD	Palmer	MA	42.16	-72.32
01070	STANDARD	Plainfield	MA	42.51	-72.91
01071	STANDARD	Russell	MA	42.18	-72.85
01072	STANDARD	Shutesbury	MA	42.45	-72.4
01073	STANDARD	Southampton	MA	42.23	-72.73
01074	PO BOX	South Barre	MA	42.39	-72.09
01075	STANDARD	South Hadley	MA	42.26	-72.56
01077	STANDARD	Southwick	MA	42.05	-72.76
01079	PO BOX	Thorndike	MA	42.2	-72.33
01080	STANDARD	Three Rivers	MA	42.18	-72.37
01081	STANDARD	Wales	MA	42.06	-72.21
01082	STANDARD	Ware	MA	42.25	-72.24
01083	PO BOX	Warren	MA	42.21	-72.19
01084	STANDARD	West Chesterfield	MA	42.39	-72.88
01085	STANDARD	Westfield	MA	42.13	-72.75
01086	PO BOX	Westfield	MA	42.13	-72.79
